Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-06-2023,Odisha,21,Boudh,349,212,211,569,45439,0,727,690,723,727,2329,20580,16689,10582,19723,857,45661,3,1832,2855,1307,16440,13301,10446,2354,3709,3,34,12709,12672
01-07-2023,Assam,18,Karimganj,293,79,52,426,132592,0,1504,1258,1487,0,3685,73189,55341,12672,69965,3224,141102,23,16081,11047,14899,51897,20917,9870,3201,5686,7,51,16421,16164
01-02-2023,Rajasthan,8,Chittorgarh,95,154,231,393,100654,0,1652,620,1779,1780,5707,43821,50214,2000,43407,414,114962,1159,8631,3365,5626,18810,4553,1188,7245,7975,12,54,4787,4691
01-06-2023,Madhya Pradesh,23,Narsinghpur,418,142,177,232,82406,0,1189,1080,1187,1192,3428,42660,35463,7707,42405,255,91684,138,12067,6187,8876,34016,13073,6886,3696,6437,6,44,9112,4748
01-02-2023,Chhattisgarh,22,Gaurella Pendra Marwahi,734,108,208,226,26500,0,4,0,821,838,133,15493,12722,0,15493,0,28928,23,0,0,0,0,0,0,106,474,3,31,0,0
01-02-2023,Jharkhand,20,Simdega,342,129,274,394,25927,0,889,380,949,965,2279,26870,24500,3754,25002,1868,59147,95,6238,5189,5508,20289,8543,3354,2253,3245,8,36,389,389
01-07-2023,Bihar,10,Vaishali,224,2807,2578,573,339846,0,3768,2874,3837,0,7104,185543,133411,48013,183772,1771,352038,174,33168,36343,32321,148172,82683,46340,9016,16964,17,144,75182,74497
01-03-2023,Arunachal Pradesh,12,Kra Daadi,677,6,5,6,133,0,48,2,173,267,35,719,506,15,702,17,1301,25,135,26,17,192,40,14,19,22,4,7,0,0
01-07-2023,Arunachal Pradesh,12,East Kameng,231,2,0,2,862,0,123,66,139,0,107,1336,914,509,1174,162,2533,0,306,213,325,1189,558,345,96,80,5,14,55,25
01-02-2023,Haryana,6,Kaithal,66,396,517,420,67588,0,1242,913,1244,1270,2545,37684,29207,5430,33266,4418,80402,543,4808,4250,3178,17328,9342,5092,5894,5072,7,50,22665,18519
